subjCode,Age,Gender
101,4.416666667,F
102,4.166666667,F
103,3.583333333,F
104,3.916666667,F
105,3.75,M
106,4.75,M
107,4.5,F
108,5.416666667,M
109,5.583333333,F
110,6.416666667,F
111,5,F
112,4.75,F
113,5,F
114,5,F
115,5.5,M
116,5.5,F
117,5.333333333,F
118,5.666666667,M
119,6.833333333,M
120,4.083333333,F
121,6.916666667,M
122,4.083333333,F
123,6.333333333,M
124,4.583333333,M
125,6.083333333,F
126,4.916666667,F
127,5.583333333,M
128,6.916666667,F
129,6.75,F
130,5.25,F
131,6.75,M
132,5.416666667,F
133,4.083333333,F
134,6.416666667,F
135,4.666666667,F
136,4.916666667,M
137,3.416666667,M
138,3.666666667,M
139,4.083333333,M
140,5.083333333,M
141,3.666666667,M
142,3.666666667,M
143,6.833333333,F
144,6.916666667,F
145,5.666666667,F
146,4.583333333,F
147,6.083333333,F
148,6.416666667,F
149,6.416666667,M
150,5.416666667,M
151,4.75,F
152,4.833333333,M
153,4.666666667,F
154,4.833333333,F
155,4.833333333,M
156,4.916666667,F
157,4,M
158,4.75,M
159,4.5,F
160,4.166666667,F
161,4.166666667,M
162,4.416666667,M
163,4.416666667,F
164,4.083333333,M
165,4.75,M
166,3.25,F
167,4.416666667,F
168,4.833333333,F
169,4,F
170,4.083333333,M
171,5.416666667,F
172,4.666666667,F
173,4.333333333,F
174,3.916666667,F
175,3.25,F
176,3.416666667,M
177,3.333333333,F
178,3.583333333,M
179,3.416666667,M
180,5.666666667,F
181,5.5,M
182,5.75,M
183,5.833333333,M
184,5.166666667,F
185,5.5,F
186,5.75,M
187,5.75,F
188,5.5,M
189,5.833333333,M
190,3.5,M
191,6.583333333,F
192,6.916666667,M
193,6.5,M
194,6.833333333,F
195,5,M
196,6.583333333,M
197,6.583333333,F
198,6.75,F
199,3.833333333,F
300,6.083333333,F
301,6.916666667,M
302,5,M
303,3.166666667,F
304,3.916666667,M
305,3.166666667,M
306,3.166666667,F
307,3.083333333,M