Subj,Word_Category,Order,Word,Exclude
152,Animal,8,dolphin,0
152,Animal,9,fish,0
152,Animal,10,shark,0
152,Animal,11,monkey,0
152,Emotion,1,sad,0
152,Emotion,2,happy,0
152,Emotion,3,angry,0
152,Emotion,4,mad,0
152,Emotion,5,grouchy,0
152,Emotion,6,cranky,0
153,Animal,1,lion,0
153,Animal,2,penguin,0
153,Animal,3,tiger,0
153,Animal,4,turtle,0
153,Animal,5,frog,0
153,Animal,6,giraffe,0
153,Animal,7,polarbear,0
153,Animal,8,buffalo,0
153,Emotion,1,sad,0
153,Emotion,2,mad,0
153,Emotion,3,happy,0
153,Emotion,4,angry,0
154,Animal,1,bird,0
154,Animal,2,bunny,0
154,Animal,3,chipmunk,0
154,Animal,4,squirrel,0
154,Animal,5,bear,0
154,Emotion,1,mad,0
154,Emotion,2,sad,0
154,Emotion,3,grumpy,0
154,Emotion,4,happy,0
154,Emotion,5,excited,0
154,Emotion,6,hurt,0
155,Animal,1,horse,0
155,Animal,2,unicorn,0
155,Animal,3,bird,0
155,Animal,4,squirrel,0
155,Animal,5,rabbit,0
155,Animal,6,chipmunk,0
155,Animal,7,bees,0
155,Animal,8,buffalo,0
155,Emotion,1,sad,0
155,Emotion,2,angry,0
155,Emotion,3,angry,0
155,Emotion,4,happy,0
155,Emotion,5,serious,0
155,Emotion,6,tired,0
156,Animal,1,python,0
156,Animal,2,lion,0
156,Animal,3,giraffe,0
156,Animal,4,hippo,0
156,Animal,5,elephant,0
156,Animal,6,worm,0
156,Animal,7,snake,0
156,Animal,8,rhino,0
156,Emotion,1,sad,0
156,Emotion,2,mad,0
156,Emotion,3,angry,0
156,Emotion,4,happy,0
156,Emotion,5,proud,0
157,Animal,1,donkey,0
157,Animal,2,cow,0
157,Animal,3,moose,0
157,Animal,4,giraffe,0
157,Animal,5,bear,0
157,Emotion,NA,NA,NA
158,Animal,1,cat,0
158,Animal,2,dog,0
158,Animal,3,elephant,0
158,Emotion,NA,NA,NA
159,Animal,1,squirrel,0
159,Animal,2,cat,0
159,Animal,3,dog,0
159,Animal,4,raccoon,0
159,Animal,5,chipmunk,0
159,Animal,6,honeybee,0
159,Emotion,1,sad,0
159,Emotion,2,happy,0
159,Emotion,3,mad,0
159,Emotion,4,nervous,0
160,Animal,1,bird,0
160,Animal,2,donkey,0
160,Emotion,NA,NA,NA
162,Animal,1,zebra,0
162,Animal,2,lion,0
162,Animal,3,boar,0
162,Animal,4,bear,0
162,Animal,5,giraffe,0
162,Animal,6,dog,0
162,Animal,7,kitty,0
162,Animal,8,monkey,0
162,Animal,9,gorilla,0
162,Emotion,1,sad,0
162,Emotion,2,grumpy,0
162,Emotion,3,silly,0
162,Emotion,4,happy,0
162,Emotion,5,grumpy,0
162,Emotion,6,sad,0
163,Animal,1,cheetah,0
163,Animal,2,giraffe,0
163,Animal,3,cow,0
163,Animal,4,chicken,0
163,Animal,5,rooster,0
163,Animal,6,unicorn,0
163,Animal,7,butterfly,0
163,Animal,8,bumblebee,0
163,Emotion,NA,NA,NA
164,Animal,1,elephant,0
164,Animal,2,tiger,0
164,Animal,3,giraffe,0
164,Animal,4,zebra,0
164,Animal,5,lion,0
164,Emotion,1,angry,0
165,Animal,1,giraffe,0
165,Animal,2,cheetah,0
165,Animal,3,leopard,0
165,Animal,4,lion,0
165,Animal,5,tiger,0
165,Emotion,1,mad,0
165,Emotion,2,angry,0
166,Animal,1,cat,0
166,Emotion,NA,NA,NA
168,Animal,1,cow,0
168,Animal,2,duck,0
168,Animal,3,horse,0
168,Animal,4,donkey,0
168,Animal,5,cat,0
168,Animal,6,dog,0
168,Emotion,1,happy,0
168,Emotion,2,sad,0
168,Emotion,3,mad,0
168,Emotion,4,frustrated,0
168,Emotion,5,worried,0
168,Emotion,6,surprise,0
169,Animal,1,unicorn,0
169,Animal,2,cheetah,0
169,Animal,3,bunny,0
169,Animal,4,lion,0
169,Animal,5,tiger,0
169,Animal,6,monkey,0
169,Animal,7,seal,0
169,Animal,8,rhino,0
169,Animal,9,elephant,0
169,Emotion,1,happy,0
169,Emotion,2,mad,0
169,Emotion,3,sad,0
169,Emotion,4,angry,0
170,Animal,1,seal,0
170,Animal,2,whale,0
170,Animal,3,dolphin,0
170,Animal,4,penguin,0
170,Animal,5,shark,0
170,Animal,6,porcupine,0
170,Animal,7,chipmunk,0
170,Animal,8,elephant,0
170,Animal,9,tiger,0
170,Animal,10,dinosaur,0
170,Animal,11,pterodactyl,0
170,Animal,12,trex,0
170,Animal,13,bear,0
170,Animal,14,monster,0
170,Animal,15,otter,0
170,Emotion,1,mad,0
170,Emotion,2,angry,0
170,Emotion,3,grouchy,0
170,Emotion,4,happy,0
170,Emotion,5,cranky,0
170,Emotion,6,sad,0
170,Emotion,7,excited,0
170,Emotion,8,frustrated,0
170,Emotion,9,happy,0
170,Emotion,10,grouchy,0
171,Animal,1,lion,0
171,Animal,2,turkey,0
171,Animal,3,bird,0
171,Animal,4,fish,0
171,Animal,5,lion,0
171,Animal,6,giraffe,0
171,Emotion,NA,NA,NA
172,Animal,1,bird,0
172,Animal,2,squirrel,0
172,Animal,3,cardinal,0
172,Animal,4,bluejay,0
172,Animal,5,stork,0
172,Animal,6,squirrel,0
172,Animal,7,bear,0
172,Emotion,1,mad,0
172,Emotion,2,sad,0
172,Emotion,3,happy,0
172,Emotion,4,notsohappy,1
172,Emotion,5,surprise,0
173,Animal,1,deer,0
173,Animal,2,cheetah,0
173,Animal,3,wolf,0
173,Animal,4,zebra,0
173,Animal,5,tiger,0
173,Animal,6,mouse,0
173,Animal,7,jaguar,0
173,Emotion,1,sad,0
173,Emotion,2,surprise,0
173,Emotion,3,mad,0
173,Emotion,4,sad,0
174,Animal,1,bunny,0
174,Animal,2,sheep,0
174,Animal,3,duck,0
174,Animal,4,platypus,0
174,Animal,5,lion,0
174,Animal,6,elephant,0
174,Animal,7,tiger,0
174,Animal,8,bear,0
174,Emotion,1,happy,0
174,Emotion,2,sad,0
175,Animal,1,zebra,0
175,Animal,2,lion,0
175,Animal,3,biglion,1
175,Animal,4,bear,0
175,Emotion,NA,NA,NA
176,Animal,1,cow,0
176,Animal,2,chicken,0
176,Animal,3,bird,0
176,Animal,4,bunny,0
176,Animal,5,duck,0
176,Emotion,NA,NA,NA
177,Animal,1,cat,0
177,Emotion,NA,NA,NA
178,Animal,1,rabbit,0
178,Animal,2,bird,0
178,Animal,3,bear,0
178,Animal,4,bunny,0
178,Animal,5,witches,1
178,Animal,6,flowers,1
178,Animal,7,goose,0
178,Animal,8,penguin,0
178,Animal,9,swallows,0
178,Animal,10,flamingo,0
178,Emotion,1,sad,0
178,Emotion,2,happy,0
178,Emotion,3,smiling,0
178,Emotion,4,grumpy,0
178,Emotion,5,mad,0
178,Emotion,6,needtotakeadeepbreath,0
179,Animal,NA,NA,NA
179,Emotion,NA,NA,NA
180,Animal,1,tiger,0
180,Animal,2,lion,0
180,Animal,3,giraffe,0
180,Animal,4,dog,0
180,Animal,5,cat,0
180,Emotion,1,sad,0
180,Emotion,2,happy,0
180,Emotion,3,mad,0
180,Emotion,4,disgusted,0
181,Animal,1,giraffe,0
181,Animal,2,monkey,0
181,Animal,3,elephant,0
181,Animal,4,kangaroo,0
181,Emotion,1,happy,0
181,Emotion,2,sad,0
181,Emotion,3,mad,0
182,Animal,1,giraffe,0
182,Animal,2,octopus,0
182,Animal,3,fish,0
182,Animal,4,lion,0
182,Animal,5,zebra,0
182,Animal,6,gorilla,0
182,Animal,7,chimpanzee,0
182,Animal,8,tiger,0
182,Animal,9,lizard,0
182,Animal,10,dog,0
182,Animal,11,cat,0
182,Animal,12,elephant,0
182,Animal,13,fish,0
182,Emotion,1,sad,0
182,Emotion,2,happy,0
183,Animal,1,lion,0
183,Animal,2,tiger,0
183,Animal,3,giraffe,0
183,Animal,4,cheetah,0
183,Animal,5,leopard,0
183,Animal,6,rhino,0
183,Emotion,1,happy,0
183,Emotion,2,sad,0
183,Emotion,3,angry,0
183,Emotion,4,mad,0
184,Animal,1,lion,0
184,Animal,2,flamingo,0
184,Animal,3,giraffe,0
184,Animal,4,unicorn,0
184,Animal,5,tiger,0
184,Animal,6,butterfly,0
184,Animal,7,penguin,0
184,Animal,8,monkey,0
184,Animal,9,mouse,0
184,Animal,10,dog,0
184,Animal,11,cat,0
184,Emotion,1,bored,0
184,Emotion,2,worried,0
184,Emotion,3,sad,0
184,Emotion,4,angry,0
184,Emotion,5,mad,0
184,Emotion,6,happy,0
184,Emotion,7,excited,0
185,Animal,1,bunny,0
185,Animal,2,tiger,0
185,Animal,3,unicorn,0
185,Animal,4,dinosaur,0
185,Animal,5,giraffe,0
185,Animal,6,seal,0
185,Animal,7,monkey,0
185,Animal,8,mouse,0
185,Animal,9,cheetah,0
185,Animal,10,dolphin,0
185,Animal,11,seal,0
185,Animal,12,fish,0
185,Animal,13,rhino,0
185,Animal,14,turtle,0
185,Animal,15,bird,0
185,Emotion,1,sad,0
185,Emotion,2,happy,0
185,Emotion,3,comfortable,0
185,Emotion,4,confused,0
185,Emotion,5,uncomfortable,0
185,Emotion,6,mad,0
185,Emotion,7,angry,0
186,Animal,1,cat,0
186,Animal,2,dog,0
186,Animal,3,squirrel,0
186,Animal,4,raccoon,0
186,Animal,5,cow,0
186,Animal,6,horse,0
186,Animal,7,pig,0
186,Animal,8,sheep,0
186,Animal,9,zebra,0
186,Animal,10,alligator,0
186,Animal,11,monkey,0
186,Emotion,1,happy,0
186,Emotion,2,sad,0
186,Emotion,3,mad,0
186,Emotion,4,surprise,0
187,Animal,1,giraffe,0
187,Animal,2,elephant,0
187,Animal,3,tiger,0
187,Animal,4,monkey,0
187,Animal,5,toucan,0
187,Animal,6,dolphin,0
187,Animal,7,whale,0
187,Animal,8,penguin,0
187,Animal,9,lion,0
187,Emotion,1,sad,0
187,Emotion,2,happy,0
187,Emotion,3,angry,0
187,Emotion,4,nervous,0
187,Emotion,5,surprise,0
187,Emotion,6,embarassed,0
187,Emotion,7,furious,0
188,Animal,1,lion,0
188,Animal,2,alligator,0
188,Animal,3,turtle,0
188,Animal,4,snake,0
188,Animal,5,monkey,0
188,Animal,6,whale,0
188,Animal,7,shark,0
188,Animal,8,squid,0
188,Animal,9,octopus,0
188,Animal,10,seasnake,0
188,Animal,11,hawk,0
188,Emotion,1,mad,0
188,Emotion,2,sad,0
188,Emotion,3,angry,0
188,Emotion,4,happy,0
188,Emotion,5,confused,0
188,Emotion,6,mad,0
189,Animal,1,snake,0
189,Animal,2,turtle,0
189,Animal,3,squirrel,0
189,Animal,4,shark,0
189,Emotion,1,sad,0
189,Emotion,2,sad,0
189,Emotion,3,happy,0
189,Emotion,4,surprise,0
190,Animal,1,pig,0
190,Animal,2,cow,0
190,Animal,3,mouse,0
190,Animal,4,cow,0
190,Animal,5,giraffe,0
190,Emotion,1,sad,0
190,Emotion,2,mad,0
191,Animal,1,squirrel,0
191,Animal,2,chikadee,0
191,Animal,3,sparrow,0
191,Animal,4,hawk,0
191,Animal,5,falcon,0
191,Animal,6,squirrel,0
191,Animal,7,mouse,0
191,Animal,8,woodpecker,0
191,Animal,9,cat,0
191,Animal,10,cheetah,0
191,Emotion,1,sad,0
191,Emotion,2,angry,0
191,Emotion,3,sad,0
191,Emotion,4,angry,0
192,Animal,1,tiger,0
192,Animal,2,lion,0
192,Animal,3,leopard,0
192,Animal,4,cheetah,0
192,Animal,5,cat,0
192,Animal,6,dog,0
192,Animal,7,horse,0
192,Animal,8,fish,0
192,Animal,9,alligator,0
192,Emotion,1,sad,0
192,Emotion,2,happy,0
192,Emotion,3,grossedout,0
192,Emotion,4,weird,0
192,Emotion,5,excited,0
192,Emotion,6,surprise,0
193,Animal,1,bird,0
193,Animal,2,chipmunk,0
193,Animal,3,dog,0
193,Animal,4,cat,0
193,Animal,5,lion,0
193,Animal,6,zebra,0
193,Animal,7,horse,0
193,Animal,8,pig,0
193,Animal,9,chicken,0
193,Animal,10,rooster,0
193,Animal,11,duck,0
193,Emotion,1,sad,0
193,Emotion,2,happy,0
193,Emotion,3,mad,0
193,Emotion,4,anxious,0
193,Emotion,5,angry,0
193,Emotion,6,excited,0
193,Emotion,7,happy,0
193,Emotion,8,sad,0
193,Emotion,9,crying,0
194,Animal,1,monkey,0
194,Animal,2,owl,0
194,Animal,3,cheetah,0
194,Animal,4,bear,0
194,Animal,5,tiger,0
194,Animal,6,polarbear,0
194,Emotion,1,surprise,0
194,Emotion,2,happy,0
194,Emotion,3,sad,0
194,Emotion,4,mad,0
194,Emotion,5,confused,0
194,Emotion,6,disgusted,0
195,Animal,1,kangaroo,0
195,Animal,2,dinosaur,0
195,Animal,3,lion,0
195,Animal,4,tiger,0
195,Animal,5,mouse,0
195,Animal,6,hamster,0
195,Animal,7,guineapig,0
195,Animal,8,dog,0
195,Animal,9,cat,0
195,Animal,10,mouse,0
195,Animal,11,hamster,0
195,Animal,12,tiger,0
195,Emotion,1,mad,0
195,Emotion,2,sad,0
195,Emotion,3,angry,0
195,Emotion,4,happy,0
196,Animal,1,cheetah,0
196,Animal,2,jaguar,0
196,Animal,3,bird,0
196,Animal,4,swan,0
196,Animal,5,chipmunk,0
196,Animal,6,cat,0
196,Animal,7,dog,0
196,Animal,8,chicken,0
196,Animal,9,possum,0
196,Animal,10,frog,0
196,Animal,11,duck,0
196,Animal,12,shark,0
196,Animal,13,lion,0
196,Animal,14,crocodile,0
196,Animal,15,monkey,0
196,Animal,16,giraffe,0
196,Animal,17,owl,0
196,Animal,18,hippo,0
196,Animal,19,bear,0
196,Animal,20,whiteshark,0
196,Animal,21,elephant,0
196,Emotion,1,sad,0
196,Emotion,2,angry,0
196,Emotion,3,disgust,0
196,Emotion,4,happy,0
196,Emotion,5,mad,0
196,Emotion,6,frustrated,0
197,Animal,1,bunny,0
197,Animal,2,horse,0
197,Animal,3,cow,0
197,Animal,4,pig,0
197,Animal,5,sheep,0
197,Animal,6,chicken,0
197,Animal,7,dog,0
197,Animal,8,cat,0
197,Animal,9,pig,0
197,Animal,10,horse,0
197,Emotion,1,sad,0
197,Emotion,2,happy,0
197,Emotion,3,angry,0
197,Emotion,4,disgusted,0
197,Emotion,5,mad,0
197,Emotion,6,happy,0
197,Emotion,7,angry,0
198,Animal,1,bird,0
198,Emotion,1,frustrated,0
198,Emotion,2,scared,0
198,Emotion,3,happy,0
198,Emotion,4,disgusted,0
198,Emotion,5,scared,0
199,Animal,1,donkey,0
199,Animal,2,cow,0
199,Animal,3,cat,0
199,Animal,4,dog,0
199,Animal,5,sheep,0
199,Animal,6,cow,0
199,Emotion,1,mad,0
199,Emotion,2,happy,0
199,Emotion,3,reallymad,1
300,Animal,1,snake,0
300,Animal,2,tiger,0
300,Animal,3,lion,0
300,Animal,4,cat,0
300,Animal,5,dog,0
300,Animal,6,fish,0
300,Emotion,1,sad,0
300,Emotion,2,happy,0
300,Emotion,3,mad,0
300,Emotion,4,frustrated,0
300,Emotion,5,confused,0
301,Animal,1,giraffe,0
301,Animal,2,horse,0
301,Animal,3,lion,0
301,Animal,4,peacock,0
301,Animal,5,beaver,0
301,Animal,6,otter,0
301,Animal,7,fish,0
301,Animal,8,pelican,0
301,Animal,9,bear,0
301,Animal,10,polarbear,0
301,Animal,11,seal,0
301,Animal,12,walrus,0
301,Animal,13,deer,0
301,Animal,14,moose,0
301,Emotion,1,sad,0
301,Emotion,2,mad,0
301,Emotion,3,surprise,0
301,Emotion,4,happy,0
301,Emotion,5,good,0
301,Emotion,6,excited,0
301,Emotion,7,okay,0
301,Emotion,8,fine,0
301,Emotion,9,great,0
302,Animal,1,horse,0
302,Animal,2,cow,0
302,Animal,3,sheep,0
302,Animal,4,eagle,0
302,Animal,5,pelican,0
302,Animal,6,falcon,0
302,Animal,7,vulture,0
302,Animal,8,panda,0
302,Animal,9,koala,0
302,Animal,10,lion,0
302,Animal,11,tiger,0
302,Emotion,1,happy,0
302,Emotion,2,sad,0
302,Emotion,3,mad,0
302,Emotion,4,surprise,0
302,Emotion,5,kind,1
303,Animal,1,zebra,0
303,Animal,2,elephant,0
303,Animal,3,giraffe,0
303,Animal,4,pig,0
303,Animal,8,sheep,0
303,Animal,9,babypig,1
303,Emotion,NA,NA,NA
304,Animal,1,elephant,0
304,Animal,2,tiger,0
304,Animal,3,lion,0
304,Animal,4,squirrel,0
304,Animal,5,bunny,0
304,Animal,6,monkey,0
304,Emotion,1,happy,0
304,Emotion,2,mad,0
304,Emotion,3,sad,0
304,Emotion,4,frustrated,0
304,Emotion,5,angry,0
305,Animal,NA,NA,NA
305,Emotion,NA,NA,NA
306,Animal,1,squirrel,0
306,Animal,2,chipmunk,0
306,Animal,3,bird,0
306,Animal,4,cardinal,0
306,Animal,5,cow,0
306,Animal,6,sheep,0
306,Animal,7,owl,0
306,Animal,8,cat,0
306,Animal,9,dog,0
306,Emotion,NA,NA,NA
307,Animal,NA,NA,NA
307,Animal,1,bird,0
307,Animal,2,cardinal,0