"image","questionType","rating","lowCI","hiCI","sd"
"F01fear_c","Arousal",3.66666666666667,3.37618823483743,3.9571450984959,0.144620305212437
"F01fear_c","Negative",1.52941176470588,1.29508814228726,1.76373538712451,0.116662547299165
"F01fear_c","Positive",1,0.73615986190436,1.26384013809564,0.131357915485837
"F01fear_c","Valence",3.50980392156863,3.30410281666057,3.71550502647668,0.102412273389809
"F04ang_o","Arousal",4.70588235294118,4.23092307636984,5.18084162951251,0.236467661673433
"F04ang_o","Negative",3.23529411764706,2.93453195488884,3.53605628040528,0.149740259545387
"F04ang_o","Positive",0.313725490196078,0.0590995870831231,0.568351393309034,0.126770430394075
"F04ang_o","Valence",1.58823529411765,1.36909869492619,1.80737189330911,0.109101394064655
"F07neut_c","Arousal",2.72549019607843,2.3649643117432,3.08601608041366,0.179494784177973
"F07neut_c","Negative",1.23529411764706,0.939839021107707,1.53074921418641,0.147098033988322
"F07neut_c","Positive",1.23529411764706,0.986335490032577,1.48425274526154,0.12394886768062
"F07neut_c","Valence",3.94117647058824,3.87434043441974,4.00801250675673,0.0332756132323081
"F10disg_o","Arousal",4.66666666666667,4.17093477579208,5.16239855754125,0.246809709451915
"F10disg_o","Negative",3.07843137254902,2.80376137437569,3.35310137072235,0.136749770777747
"F10disg_o","Positive",0.450980392156863,0.167966627563392,0.733994156750333,0.140903876260562
"F10disg_o","Valence",1.58823529411765,1.40879163520049,1.76767895303481,0.0893394960776041
"F13exc_o","Arousal",6.05882352941176,5.701235120355,6.41641193846853,0.178032305299077
"F13exc_o","Negative",0.470588235294118,0.155618613447311,0.785557857140925,0.156813717828488
"F13exc_o","Positive",2.94117647058824,2.54178804430251,3.34056489687396,0.198843252299407
"F13exc_o","Valence",6.47058823529412,6.24311648859255,6.69805998199568,0.113251208456421
"F14surp_c","Arousal",4.58823529411765,4.24067719530329,4.935793392932,0.173038521356158
"F14surp_c","Negative",1.72549019607843,1.41190245952539,2.03907793263147,0.156125719508976
"F14surp_c","Positive",0.647058823529412,0.396609412365922,0.897508234692902,0.124691083102625
"F14surp_c","Valence",3.35294117647059,3.08420822169967,3.62167413124151,0.133793898895937
"F15hap_c","Arousal",4.76470588235294,4.38490504686451,5.14450671784137,0.189091191392019
"F15hap_c","Negative",0.372549019607843,0.147821302729453,0.597276736486233,0.111885040138722
"F15hap_c","Positive",2.37254901960784,2.02597411399046,2.71912392522523,0.172549019607843
"F15hap_c","Valence",5.52941176470588,5.31630365459363,5.74251987481813,0.106099994184068
"F17calm_o","Arousal",4.29411764705882,3.94150872605483,4.64672656806281,0.175553170867446
"F17calm_o","Negative",0.411764705882353,0.140961890327216,0.68256752143749,0.134824419118989
"F17calm_o","Positive",2,1.69707959824107,2.30292040175893,0.15081478057278
"F17calm_o","Valence",5.29411764705882,5.15299492221938,5.43524037189827,0.0702606779104663
"F22sad_c","Arousal",3.58823529411765,3.25938886468933,3.91708172354596,0.163722554863907
"F22sad_c","Negative",1.76470588235294,1.48016171158287,2.04925005312302,0.141665818574027
"F22sad_c","Positive",0.490196078431373,0.262587998635935,0.71780415822681,0.113319084523921
"F22sad_c","Valence",2.82352941176471,2.66737987062921,2.9796789529002,0.0777420690258785
"M02ang_c","Arousal",3.7843137254902,3.43613140380172,4.13249604717867,0.173349302786669
"M02ang_c","Negative",2.25490196078431,1.96894403232562,2.54085988924301,0.142369685181736
"M02ang_c","Positive",0.490196078431373,0.224131377947243,0.756260778915502,0.132465456894545
"M02ang_c","Valence",2.58823529411765,2.3840478308557,2.7924227573796,0.101658677622084
"M03calm_c","Arousal",3.01960784313725,2.6199088503767,3.41930683589781,0.198997873825338
"M03calm_c","Negative",0.980392156862745,0.645284983446617,1.31549933027887,0.166839587342609
"M03calm_c","Positive",1.49019607843137,1.26964841122031,1.71074374564244,0.109803921568627
"M03calm_c","Valence",4.54901960784314,4.38682837855295,4.71121083713332,0.0807500403214667
"M04disg_c","Arousal",4.35294117647059,3.95588974172963,4.74999261121155,0.19767973586084
"M04disg_c","Negative",2.94117647058824,2.69334181543011,3.18901112574636,0.123389276255312
"M04disg_c","Positive",0.333333333333333,0.125382422849729,0.541284243816938,0.103532382607405
"M04disg_c","Valence",1.7843137254902,1.57149694580822,1.99713050517217,0.105954949694951
"M05exc_c","Arousal",5.19607843137255,4.81865367879625,5.57350318394885,0.187908212560172
"M05exc_c","Negative",0.450980392156863,0.191288010586528,0.710672773727198,0.129292874681055
"M05exc_c","Positive",2.88235294117647,2.57607174628354,3.1886341360694,0.152488016433126
"M05exc_c","Valence",5.98039215686275,5.78159317615938,6.17919113756611,0.0989759173656781
"M07ang_c","Arousal",4.23529411764706,3.80473307339814,4.66585516189598,0.214363143038689
"M07ang_c","Negative",2.94117647058824,2.67487868665995,3.20747425451653,0.132581501995113
"M07ang_c","Positive",0.352941176470588,0.0962525089605816,0.609629843980595,0.127797417543532
"M07ang_c","Valence",2.13725490196078,1.86157031794695,2.41293948597461,0.137254901960784
"M07ang_o","Arousal",4.45098039215686,4.09382600244812,4.80813478186561,0.177816220372622
"M07ang_o","Negative",2.70588235294118,2.41744013518416,2.9943245706982,0.143606536655691
"M07ang_o","Positive",0.470588235294118,0.181823555482509,0.759352915105726,0.143767080626066
"M07ang_o","Valence",2.13725490196078,1.91925373320345,2.35525607071812,0.108536098063514
"M07calm_c","Arousal",3.29411764705882,2.90727612010109,3.68095917401656,0.192596535808764
"M07calm_c","Negative",0.901960784313726,0.577578325733354,1.2263432428941,0.161500080642933
"M07calm_c","Positive",1.50980392156863,1.2437392210845,1.77586862205276,0.132465456894545
"M07calm_c","Valence",4.56862745098039,4.4171160551693,4.72013884679148,0.075432878673221
"M07calm_o","Arousal",3.94117647058824,3.537846234272,4.34450670690447,0.2008057586587
"M07calm_o","Negative",0.647058823529412,0.324787128000391,0.969330519058432,0.160449196435128
"M07calm_o","Positive",1.82352941176471,1.53283747132022,2.11422135220919,0.14472660460585
"M07calm_o","Valence",5.03921568627451,4.89080724160218,5.18762413094684,0.0738880144369285
"M07disg_c","Arousal",4.01960784313725,3.58574523228317,4.45347045399134,0.216006891826203
"M07disg_c","Negative",3.15686274509804,2.90927855453665,3.40444693565943,0.123264577611778
"M07disg_c","Positive",0.176470588235294,0.00122502295995452,0.351716153510634,0.0872493939658313
"M07disg_c","Valence",1.68627450980392,1.48747552910056,1.88507349050729,0.0989759173656781
"M07disg_o","Arousal",4.76470588235294,4.37260746605229,5.15680429865359,0.195213779837704
"M07disg_o","Negative",2.70588235294118,2.43439309061794,2.97737161526441,0.135166179918542
"M07disg_o","Positive",0.549019607843137,0.271652294568043,0.826386921118232,0.138092681267914
"M07disg_o","Valence",2.25490196078431,1.96894403232562,2.54085988924301,0.142369685181736
"M07exc_c","Arousal",5.45098039215686,5.03262441308272,5.86933637123101,0.208286615292384
"M07exc_c","Negative",0.431372549019608,0.166008327242287,0.696736770796929,0.132116710022926
"M07exc_c","Positive",2.92156862745098,2.60414631616217,3.23899093873979,0.158034836702823
"M07exc_c","Valence",6.13725490196078,5.88556991639513,6.38893988752644,0.125306237715062
"M07exc_o","Arousal",4.74509803921569,4.4378056788289,5.05239039960247,0.15299144473044
"M07exc_o","Negative",1.05882352941176,0.786649551594189,1.33099750722934,0.135507078769969
"M07exc_o","Positive",1.3921568627451,1.10490010279533,1.67941362269487,0.143016333559298
"M07exc_o","Valence",4.31372549019608,4.07847698943929,4.54897399095287,0.117123015867201
"M07fear_c","Arousal",4.07843137254902,3.84757545088992,4.30928729420812,0.114936085409826
"M07fear_c","Negative",1.66666666666667,1.4048329465725,1.92850038676084,0.130358981479174
"M07fear_c","Positive",0.588235294117647,0.376441326712354,0.80002926152294,0.105445722821559
"M07fear_c","Valence",3.2156862745098,3.04401752565147,3.38735502336814,0.0854686067360916
"M07fear_o","Arousal",4.03921568627451,3.71627088785831,4.36216048469071,0.16078431372549
"M07fear_o","Negative",1.84313725490196,1.59555306434057,2.09072144546335,0.123264577611778
"M07fear_o","Positive",0.431372549019608,0.234454989009729,0.628290109029486,0.0980392156862745
"M07fear_o","Valence",2.88235294117647,2.71694219076817,3.04776369158477,0.0823529411764706
"M07hap_c","Arousal",4.68627450980392,4.27873602847283,5.09381299113501,0.202900914827867
"M07hap_c","Negative",0.764705882352941,0.384905046864513,1.14450671784137,0.189091191392019
"M07hap_c","Positive",2.33333333333333,2.02182991880684,2.64483674785983,0.155087999476747
"M07hap_c","Valence",5.82352941176471,5.65755699335505,5.98950183017436,0.082632578453747
"M07hap_o","Arousal",5.45098039215686,4.96281544590861,5.93914533840512,0.243042359723077
"M07hap_o","Negative",0.392156862745098,0.0735639673560405,0.710749758134156,0.158617634636523
"M07hap_o","Positive",3.11764705882353,2.77250725214741,3.46278686549965,0.171834527844758
"M07hap_o","Valence",6.49019607843137,6.31798607100817,6.66240608585457,0.085738082780688
"M07neut_c","Arousal",2.86274509803922,2.52986704364385,3.19562315243458,0.165729777326396
"M07neut_c","Negative",1.45098039215686,1.15699889630854,1.74496188800518,0.146364373384483
"M07neut_c","Positive",0.941176470588235,0.687038357009672,1.1953145841668,0.126527574940405
"M07neut_c","Valence",3.84313725490196,3.72551300452357,3.96076150528035,0.0585615079336003
"M07neut_o","Arousal",3.07843137254902,2.77633133899033,3.3805314061077,0.150406344398158
"M07neut_o","Negative",1.62745098039216,1.36991774154134,1.88498421924298,0.128217903719779
"M07neut_o","Positive",0.784313725490196,0.524621343919861,1.04400610706053,0.129292874681055
"M07neut_o","Valence",3.37254901960784,3.20416435462345,3.54093368459224,0.083833562064439
"M07sad_c","Arousal",3.76470588235294,3.39332959651086,4.13608216819502,0.184896866417667
"M07sad_c","Negative",2.64705882352941,2.38427899838298,2.90983864867584,0.130830018177351
"M07sad_c","Positive",0.235294117647059,0.0803411423526194,0.390247092941498,0.0771463355800235
"M07sad_c","Valence",1.88235294117647,1.66707241905201,2.09763346330093,0.107181571519345
"M07sad_o","Arousal",3.68627450980392,3.39675881525243,3.97579020435541,0.14414098783913
"M07sad_o","Negative",2.23529411764706,1.99938720949929,2.47120102579482,0.117450816720564
"M07sad_o","Positive",0.352941176470588,0.185851086049355,0.520031266891821,0.0831890330807703
"M07sad_o","Valence",2.54901960784314,2.36836988099444,2.72966933469184,0.0899399603229782
"M07surp_c","Arousal",4.33333333333333,4.05968168263449,4.60698498403217,0.136242766792472
"M07surp_c","Negative",0.980392156862745,0.713628817012728,1.24715549671276,0.132813288014715
"M07surp_c","Positive",1.3921568627451,1.12784683979261,1.65646688569758,0.13159185674951
"M07surp_c","Valence",4.41176470588235,4.25091789126133,4.57261152050338,0.0800806974771064
"M07surp_o","Arousal",6.27450980392157,5.89267248822898,6.65634711961415,0.190105092447699
"M07surp_o","Negative",0.509803921568627,0.156843270880174,0.86276457225708,0.175728286293397
"M07surp_o","Positive",3.45098039215686,3.15699889630854,3.74496188800518,0.146364373384483
"M07surp_o","Valence",6.76470588235294,6.63173184127442,6.89767992343146,0.0662036981024868
"M08fear_o","Arousal",4.33333333333333,4.03745855604758,4.62920811061909,0.147306980164651
"M08fear_o","Negative",1.86274509803922,1.59286026077162,2.13262993530681,0.134367385874602
"M08fear_o","Positive",0.686274509803922,0.42550926094585,0.947039758661993,0.129827022409779
"M08fear_o","Valence",2.98039215686275,2.78971738073131,3.17106693299418,0.0949311249953741
"M12hap_o","Arousal",4.62745098039216,4.27186344664618,4.98303851413814,0.177036130828168
"M12hap_o","Negative",0.607843137254902,0.284322508131647,0.931363766378157,0.161071002179709
"M12hap_o","Positive",2.29411764705882,1.98451213856732,2.60372315555033,0.154143090251243
"M12hap_o","Valence",5.45098039215686,5.23085509558664,5.67110568872709,0.10959363617633
"M14neut_o","Arousal",3.01960784313725,2.64864944455011,3.3905662417244,0.184688813165751
"M14neut_o","Negative",1.54901960784314,1.24446509900594,1.85357411668033,0.151628352385735
"M14neut_o","Positive",0.823529411764706,0.532837471320221,1.11422135220919,0.14472660460585
"M14neut_o","Valence",3.52941176470588,3.3668384589633,3.69198507044846,0.0809402644727462
"M15surp_o","Arousal",4.90196078431373,4.54506705956347,5.25885450906399,0.177686443281713
"M15surp_o","Negative",1.56862745098039,1.26962384388672,1.86763105807406,0.148864728596881
"M15surp_o","Positive",1.19607843137255,0.903684034554398,1.4884728281907,0.145574205437416
"M15surp_o","Valence",3.23529411764706,2.94524317454369,3.52534506075043,0.144407471682525
"M17sad_o","Arousal",3.68627450980392,3.39675881525243,3.97579020435541,0.14414098783913
"M17sad_o","Negative",2.11764705882353,1.85593184234262,2.37936227530443,0.130299982163421
"M17sad_o","Positive",0.411764705882353,0.232321046965191,0.591208364799515,0.0893394960776041
"M17sad_o","Valence",2.72549019607843,2.57583285047092,2.87514754168594,0.0745098039215686
